产权,关注,区域,单价,小区,年限,总价/万元,户型,房屋编码,挂牌时间,朝向,楼层,装修情况,面积
70年,46,钱塘新区高教园区西,28933元/平米,裕园公寓,未知年建/板楼,110,1室1厅,103102839178,2018-09-04,南,低楼层/共7层,平层/简装,38.02平米
70年,0,江干南肖埠,56717元/平米,青春都市公寓,2007年建/塔楼,760,3室2厅,103104281896,2019-03-30,南,低楼层/共11层,平层/其他,134平米
70年,0,临安临安,19346元/平米,锦绣钱塘,未知年建/板楼,650,5室2厅,103104467446,2019-04-18,南,独栋/共1层,毛坯,336平米
40年,23,余杭未来科技城,23077元/平米,富力天贸广场,2013年建/平房,120,1室1厅,103103141979,2018-10-17,南,中楼层/共10层,平层/精装,52平米
70年,34,江干九堡,34734元/平米,阳光城普升,2016年建/板楼,268,3室2厅,103104402371,2019-04-12,南,高楼层/共16层,平层/精装,77.16平米
70年,15,余杭三墩,31852元/平米,亲亲家园一期,2007年建/板楼,480,4室2厅,103101925204,2017-11-19,南 北,中楼层/共5层,平层/精装,150.7平米
70年,23,余杭良渚,30779元/平米,万科缦云坊,2015年建/板楼,265,5室2厅,103104276304,2019-03-30,南,高楼层/共10层,跃层/精装,86.1平米
40年,0,余杭未来科技城,28605元/平米,创客空间大厦,2018年建/板楼,125,2室1厅,103104497346,2019-04-21,东,中楼层/共21层,精装,43.7平米
70年,3,江干四季青,44814元/平米,静怡花苑,2002年建/塔楼,585,3室2厅,103104304853,2019-04-02,南,低楼层/共25层,平层/其他,130.54㎡
70年,0,滨江长河,46526元/平米,银泰海威国际,2009年建/板楼,618,3室2厅,103104870066,2019-05-29,南,中楼层/共33层,简装,132.83平米
70年,13,萧山钱江世纪城,58098元/平米,滨江金色江南,2016年建/板塔结合,518,3室2厅,103102589194,2018-07-08,南 北,高楼层/共27层,平层/简装,89.16平米
70年,0,临安临安,17736元/平米,葡萄园小区,未知年建/板楼,120,3室2厅,103104930169,2019-06-04,南 北,中楼层/共4层,精装,67.66平米
70年,7,江干火车东站,43200元/平米,红街公寓,2010年建/板楼,540,3室2厅,103103184618,2018-10-22,南 北,中楼层/共18层,平层/精装,125平米
70年,12,拱墅德胜,47288元/平米,清水公寓,2002年建/塔楼,680,3室2厅,103103486606,2018-11-30,南 北,中楼层/共11层,平层/简装,143.8平米
70年,4,西湖文三西路,34005元/平米,西荡苑桃苑,2003年建/板楼,750,5室3厅,103102080873,2018-01-17,南,高楼层/共11层,简装,220.56平米
70年,4,余杭星桥,20787元/平米,五月花城,2014年建/板楼,185,3室2厅,103104650433,2019-05-07,南,低楼层/共18层,平层/简装,89平米
70年,45,上城复兴,42133 元/平米,紫花苑,2000年建/板楼,230,2室1厅,103103191434,2018-10-23,西南,低楼层/共14层,平层/简装,54.59平米
70年,8,钱塘新区高教园区东,40225元/平米,保利江语海,2010年建/塔楼,358,3室2厅,103104255915,2019-03-28,东南,中楼层/共34层,简装,89平米
40年,1,余杭三墩,50240元/平米,金地广场,2017年建/板楼,105,1室1厅,103104612281,2019-05-03,南,低楼层/共22层,平层/毛坯,20.9平米
70年,40,西湖翠苑,41686元/平米,翠苑逸景湾,2013年建/塔楼,365,2室1厅,103102606055,2018-07-12,南,高楼层/共27层,毛坯,87.56平米
70年,5,余杭临平,23413元/平米,钱塘梧桐蓝山,2015年建/板楼,295,3室2厅,103104364351,2019-04-08,南,低楼层/共24层,平层/毛坯,126平米
70年,2,余杭良渚,23022元/平米,东田玉城,2008年建/板楼,320,4室2厅,103104330932,2019-04-04,南,低楼层/共6层,平层/精装,139平米
70年,4,西湖转塘,40065元/平米,佳兆业玖珑山,2014年建/板楼,350,4室2厅,103104167654,2019-03-19,南,高楼层/共10层,平层/毛坯,87.36平米
