产权,关注,区域,单价,小区,年限,总价/万元,户型,房屋编码,挂牌时间,朝向,楼层,装修情况,面积
70年,5,临安临安,9569元/平米,临东小区,未知年建/板楼,170,3室2厅,103104800024,2019-05-22,南,高楼层/共7层,平层/简装,177.66平米
40年,114,余杭塘栖,10205元/平米,欣北钱江国际广场,2014年建/塔楼,50,1室1厅,103102734218,2018-08-14,南,中楼层/共20层,平层/精装,49平米
70年,14,西湖文三西路,38449元/平米,紫金公寓,1996年建/板楼,330,2室2厅,103102699346,2018-08-05,南,高楼层/共7层,平层/简装,85.83平米
70年,1,萧山萧山开发区,28090元/平米,得力名望府,2017年建/塔楼,250,3室1厅,103105020649,2019-06-13,西,中楼层/共25层,平层/其他,89平米
70年,1,萧山萧山新城区,46652元/平米,滨江江南之星,2018年建/板楼,565,4室2厅,103104863744,2019-05-28,南,高楼层/共34层,平层/毛坯,121.11平米
70年,0,西湖三墩,30940元/平米,乾成园,2009年建/板楼,380,3室2厅,103105050188,2019-06-16,南,中楼层/共18层,平层/毛坯,122.82平米
70年,12,滨江浦沿,27556元/平米,时代长岛之春,2005年建/板楼,495,5室3厅,103103951956,2019-02-24,南,高楼层/共6层,跃层/毛坯,179.64平米
70年,64,西湖文三西路,42295元/平米,康乐新村,1995年建/板楼,275,2室2厅,103102357827,2018-04-28,南,中楼层/共7层,平层/简装,65.02平米
70年,1,江干笕桥,35391元/平米,原筑壹号,2010年建/板塔结合,375,3室1厅,103104131229,2019-03-15,南,低楼层/共13层,平层/精装,105.96平米
70年,1,萧山南部卧城,27263元/平米,广宁小区,2000年建/板楼,200,2室2厅,103104574448,2019-04-28,南,中楼层/共6层,平层/简装,73.36平米
70年,5,下城石桥,35186元/平米,嘉里桦枫居,2009年建/塔楼,285,2室2厅,103102730723,2018-08-13,南,低楼层/共16层,平层/精装,81平米
70年,1,江干九堡,29831元/平米,汇隆风林公寓,2009年建/板楼,415,3室2厅,103104465032,2019-04-17,南,低楼层/共16层,简装,139.12平米
70年,14,江干景芳,41702元/平米,景芳三区,1996年建/板楼,198,2室1厅,103104682745,2019-05-10,南,高楼层/共7层,精装,47.48平米
40年,0,滨江滨江区政府,43021元/平米,中赢康康谷,2017年建/塔楼,200,2室2厅,103103257172,2018-10-31,北,高楼层/共18层,精装,46.49平米
70年,9,余杭翡翠城,32171元/平米,溪悦宸府,2015年建/板塔结合,415,3室2厅,103104696957,2019-05-11,南,高楼层/共17层,平层/精装,129平米
70年,1,萧山义桥,29211元/平米,绿都御景蓝湾,2016年建/板楼,256,3室2厅,103104899396,2019-06-01,南,低楼层/共27层,平层/精装,87.64平米
70年,4,江干火车东站,38130元/平米,红街公寓,2010年建/板楼,340,2室1厅,103102712876,2018-08-09,南,低楼层/共18层,平层/简装,89.17平米
70年,0,临安临安,21349元/平米,越秀星汇城,未知年建/板楼,190,3室2厅,103104649895,2019-05-07,南,中楼层/共33层,平层/毛坯,89平米
70年,7,萧山南部卧城,33481元/平米,众安朝阳8号,2017年建/板楼,365,4室2厅,103102412285,2018-05-14,南,高楼层/共33层,平层/毛坯,109.02平米
70年,54,上城近江,56433元/平米,近江家园二园,2000年建/板楼,540,3室2厅,103102173915,2018-03-04,南 北,高楼层/共11层,平层/精装,95.69平米
70年,0,江干丁桥,38065元/平米,丁桥颐景园,2012年建/板楼,280,2室1厅,103105023154,2019-06-13,南,中楼层/共16层,平层/精装,73.56平米
40年,18,余杭临平,12097元/平米,海联云客里,2017年建/板楼,75,2室2厅,103104296726,2019-04-01,东,中楼层/共12层,跃层/简装,62平米
40年,0,滨江奥体,34669元/平米,绿地旭辉城,2016年建/板楼,520,2室2厅,103103189954,2018-10-22,南,低楼层/共26层,平层/精装,149.99平米
70年,3,拱墅大关,39684元/平米,大关西三苑,1996年建/板楼,216,2室1厅,103103718143,2019-01-08,南,中楼层/共6层,平层/简装,54.43平米
40年,1,江干九堡,31924元/平米,鑫运时代金座,2015年建/板楼,160,2室1厅,103103877150,2019-02-15,南,中楼层/共11层,精装,50.12平米
70年,24,西湖文教,51554元/平米,今日嘉园,2008年建/板楼,710,3室2厅,103102208997,2018-03-14,南 西,低楼层/共17层,平层/精装,137.72平米
70年,5,西湖三墩,44944元/平米,金地自在城栖霞居,2012年建/板楼,400,3室2厅,103104956912,2019-06-06,南,中楼层/共26层,复式/精装,89平米
70年,30,拱墅半山,32821元/平米,广宇万科公园里,2018年建/板楼,290,3室1厅,103102797883,2018-08-29,南,低楼层/共18层,平层/精装,88.36平米
70年,63,拱墅申花,49683元/平米,昆仑橡树园,2010年建/板楼,650,3室2厅,103101610442,2017-08-13,南 北,中楼层/共9层,精装,130.83平米
70年,2,余杭三墩,25102 元/平米,亲亲家园二期,2006年建/板楼,450,4室2厅,103104665070,2019-05-08,南,高楼层/共6层,简装,179.27平米
70年,0,拱墅三墩,32372元/平米,都市水乡水月苑,2005年建/板楼,360,3室2厅,103104913265,2019-06-02,南,中楼层/共19层,平层/精装,111.21平米
70年,39,江干景芳,39916元/平米,景芳五区,1996年建/板楼,265,3室1厅,103104023644,2019-03-03,南 北,高楼层/共6层,平层/精装,66.39平米
70年,2,余杭星桥,20550元/平米,广厦天都城天熙公馆,2016年建/板楼,500,5室2厅,103104778275,2019-05-20,南 东 北,中楼层/共15层,平层/简装,243.31平米
40年,0,江干火车东站,31477元/平米,恒祺克拉天玺,2018年建/板塔结合,130,1室1厅,103103968043,2019-02-25,南,高楼层/共15层,平层/精装,41.3平米
70年,2,萧山萧山新城区,42582元/平米,滨江江南之星,未知年建/板塔结合,380,3室2厅,103104638395,2019-05-05,南 北,高楼层/共34层,平层/毛坯,89.24平米
70年,5,余杭临平,24591元/平米,经建绅世郡园,2014年建/板楼,150,2室2厅,103104448936,2019-04-16,南,低楼层/共23层,平层/精装,61平米
70年,7,江干三里亭,46735元/平米,运河天城国际,2015年建/板楼,410,2室1厅,103104452306,2019-04-17,南,低楼层/共28层,平层/精装,87.73平米
70年,28,拱墅拱宸桥,35302元/平米,绍兴新村,1995年建/板楼,180,2室1厅,103104954573,2019-06-06,南,中楼层/共7层,平层/简装,50.99平米
70年,11,萧山萧山开发区,30360元/平米,东南钱江蓝湾,未知年建/板楼,260,4室2厅,103104622215,2019-05-04,南 北,低楼层/共7层,平层/毛坯,85.64平米
70年,16,,25642元/平米,金厦公寓,1998年建/板楼,300,3室2厅,103103953548,2019-02-24,南,高楼层/共6层,平层/简装,117平米
40年,9,余杭未来科技城,24889元/平米,万通时尚公馆,2018年建/板楼,112,1室1厅,103103926716,2019-02-21,东,高楼层/共23层,精装,45平米
70年,4,江干丁桥,23952元/平米,丁桥兰苑,2000年建/板楼,225,2室1厅,103103404717,2018-11-17,南,低楼层/共11层,平层/精装,93.94㎡
70年,2,下城建国北路,57143元/平米,宝善公寓,2011年建/塔楼,420,2室1厅,103104714245,2019-05-13,西北,高楼层/共24层,简装,73.5平米
70年,10,江干四季青,48821元/平米,观音塘小区,1993年建/板楼,265,2室1厅,103102697750,2018-08-05,南,中楼层/共7层,平层/简装,54.28平米
40年,2,钱塘新区工业园北,23233元/平米,元成时代中心,2016年建/板楼,115,1室1厅,103102224557,2018-03-18,南,低楼层/共22层,复式/精装,49.5平米
70年,0,余杭乔司,26667元/平米,东田怡丰城,未知年建/板楼,80,2室1厅,103104712382,2019-05-13,北,高楼层/共13层,精装,30平米
40年,1,萧山萧山新城区,23202元/平米,中栋国际,2015年建/板楼,120,1室1厅,103103504603,2018-12-03,南,低楼层/共16层,平层/精装,51.72平米
70年,42,滨江白马湖,36232元/平米,风景蝶院留园,2011年建/板楼,315,2室2厅,103104391380,2019-04-11,南,中楼层/共20层,平层/精装,86.94平米
70年,73,临安临安,14276元/平米,大园新城南区,未知年建/板楼,78,1室1厅,103104134981,2019-03-15,西,中楼层/共24层,平层/毛坯,54.64平米
70年,3,上城复兴,43018元/平米,复兴东苑,2010年建/板楼,284,2室1厅,103104696641,2019-05-11,南,中楼层/共6层,毛坯,66.02平米
70年,6,西湖文教,60990元/平米,学院路176-178号大院,未知年建/板楼,540万元,2室2厅,103103099892,2018-10-13,南 北,高楼层/共7层,平层/简装,88.54平米
70年,0,西湖古荡,40242元/平米,古荡新村西区,1988年建/板楼,200,2室1厅,103104990154,2019-06-10,南,中楼层/共6层,平层/简装,49.7平米
70年,13,拱墅湖墅,42535元/平米,左家新村,1996年建/板楼,335,2室1厅,103102211726,2018-03-15,西南,低楼层/共20层,平层/精装,78.76平米
70年,10,余杭临平,24941元/平米,临平桂花城北区,2010年建/板楼,600,4室2厅,103103184508,2018-10-22,南,高楼层/共11层,跃层/精装,240.57平米
70年,14,西湖转塘,32897元/平米,云溪香山,2008年建/板楼,500,3室2厅,103102528615,2018-06-21,南,中楼层/共7层,平层/精装,151.99平米
70年,20,西湖文三,63364元/平米,文三新村,1988年建/板楼,500,3室1厅,103102785583,2018-08-26,南 北,高楼层/共6层,平层/简装,78.91平米
70年,223,西湖古荡,35963元/平米,亚洲城花园,1996年建/塔楼,470,4室2厅,103101120696,2017-03-21,南,高楼层/共6层,跃层/简装,130.69平米
70年,2,江干丁桥,31773元/平米,冠宇隽园,2010年建/板楼,285,3室2厅,103104420411,2019-04-14,南,高楼层/共15层,平层/毛坯,89.7平米
70年,5,滨江滨江区政府,40549元/平米,温馨人家,2005年建/板楼,538,3室1厅,103104509013,2019-04-22,南,低楼层/共11层,简装,132.68平米
40年,0,江干华家池,23913元/平米,同方国际,2000年建/板楼,105,1室0厅,103102399164,2018-05-10,南,高楼层/共28层,平层/简装,43.91平米
70年,8,余杭闲林,21268元/平米,爵士风情花园,2008年建/板楼,240,3室2厅,103103217576,2018-10-26,南 北,高楼层/共6层,精装,112.85平米
40年,25,下城三塘,19739元/平米,中粮方圆府,2014年建/塔楼,92,1室1厅,103103231475,2018-10-28,北,高楼层/共17层,平层/精装,46.61平米
70年,17,余杭临平,24149元/平米,绿城蓝庭东区,2013年建/板楼,410,4室2厅,103103911139,2019-02-19,南,高楼层/共17层,平层/精装,169.78平米
70年,12,滨江彩虹城,42338元/平米,彩虹城,2007年建/板楼,650,4室2厅,103102383291,2018-05-06,南 北,低楼层/共12层,精装,153.53平米
70年,12,余杭勾庄,25569元/平米,嘉凯城名城博园,2016年建/板楼,225,3室2厅,103104855286,2019-05-28,南,低楼层/共30层,平层/精装,88平米
70年,46,西湖翠苑,42059元/平米,西湖区教师公寓,2002年建/板楼,300,2室1厅,103102037425,2017-12-30,南,低楼层/共18层,平层/简装,71.33平米
70年,10,滨江浦沿,82277元/平米,中海钱塘山水,未知/板楼,720,4室3厅,103102529893,2018-06-21,南,低楼层/共34层,精装,87.51平米
70年,32,余杭万达广场,35873元/平米,万科北宸之光,2016年建/塔楼,300,2室2厅,103104283549,2019-03-31,南,中楼层/共27层,平层/精装,83.63平米
70年,17,余杭未来科技城,13664元/平米,春花秋月,未知年建/暂无数据,138,3室2厅,103104808654,2019-05-23,南,高楼层/共6层,跃层/毛坯,101平米
70年,0,临安临安,20271元/平米,绿城钱王文化广场,2012年建/板楼,300,3室2厅,103103765888,2019-01-14,南,高楼层/共26层,平层/毛坯,148平米
70年,5,江干闸弄口,43123元/平米,天运花园,2006年建/板楼,580,3室1厅,103104403417,2019-04-12,南 北,高楼层/共15层,平层/精装,134.5平米
70年,2,西湖翠苑,46195元/平米,翠苑三区,1989年建/板楼,190,1室1厅,103104713007,2019-05-13,南,高楼层/共6层,平层/精装,41.13平米
70年,67,下城朝晖,40708元/平米,远大花园,1998年建/板楼,230,2室1厅,103102637559,2018-07-21,西,高楼层/共18层,平层/简装,56.5平米
40年,3,余杭乔司,21795元/平米,东田怡丰城,2014年建/板楼,85,2室1厅,103104686312,2019-05-10,北,高楼层/共13层,精装,39平米
70年,257,萧山湘湖,34452元/平米,奥兰多小镇,2007年建/板楼,188,1室1厅,103102472793,2018-06-03,南 北,低楼层/共15层,平层/精装,54.57平米
70年,33,拱墅湖墅,38685元/平米,米市新村,1983年建/板楼,280,3室1厅,103102315238,2018-04-14,南,高楼层/共6层,跃层/精装,72.38平米
70年,0,临安临安,16250元/平米,青山鹤岭,2013年建/板楼,195,3室2厅,103103804191,2019-01-21,南,中楼层/共11层,精装,120平米
70年,4,下城朝晖,43899元/平米,朝晖九区,1988年建/板楼,318,3室2厅,103104874705,2019-05-30,南 北,高楼层/共6层,平层/精装,72.44平米
70年,16,拱墅德胜,48116元/平米,清水公寓,2004年建/塔楼,785,4室2厅,103104546269,2019-04-26,南 北,中楼层/共18层,平层/精装,9平米
70年,25,拱墅申花,46782元/平米,九龙仓珑玺,2017年建/板楼,420,3室2厅,103103139409,2018-10-16,南 北,低楼层/共24层,平层/毛坯,89.78平米
70年,0,西湖转塘,44703元/平米,融创瑷骊山,2014年建/板楼,400,3室2厅,103104571055,2019-04-28,南 北,中楼层/共11层,平层/简装,89.48平米
50年,0,萧山钱江世纪城,18182元/平米,江南明城,2013年建/板楼,300,3室2厅,103104392888,2019-04-11,南,高楼层/共26层,简装,165平米
70年,8,萧山萧山新城区,30585元/平米,中誉现代城,2007年建/塔楼,188,2室1厅,103104281792,2019-03-30,南 北,中楼层/共17层,平层/简装,61.47平米
70年,1,萧山南部卧城,36236元/平米,绿都南江壹号,2016年建/板楼,720,4室2厅,103104592968,2019-04-30,南 北,中楼层/共15层,平层/毛坯,198.7平米
70年,46,西湖嘉绿,36452元/平米,南都银座公寓,2001年建/板楼,1000,4室2厅,103101101644,2017-03-16,南,高楼层/共25层,精装,274.34平米
70年,7,西湖文教,61557元/平米,石灰桥新村,1986年建/板楼,310,2室1厅,103102691849,2018-08-04,南 北,低楼层/共6层,简装,50.36平米
70年,1,萧山萧山新城区,31133元/平米,明怡花苑,2000年建/板楼,165,2室1厅,103105104169,2019-06-21,西,低楼层/共5层,其他,53平米
70年,0,余杭闲林,21667元/平米,爵士风情花园,2008年建/板楼,260,3室2厅,103104012402,2019-03-02,南,高楼层/共6层,平层/精装,120平米
70年,1,江干景芳,45195元/平米,景芳五区,1996年建/板楼,308,3室1厅,103104473276,2019-04-18,南 北,高楼层/共6层,平层/精装,68.15平米
70年,8,拱墅拱宸桥,45769元/平米,荣华里,2011年建/板楼,318,2室1厅,103104193117,2019-03-21,南,低楼层/共6层,平层/简装,69.48平米
70年,3,萧山萧山新城区,31129元/平米,华瑞晴庐,2015年建/板楼,400,4室2厅,103104384405,2019-04-10,南 西,高楼层/共33层,平层/简装,128.5平米
40年,2,钱塘新区沿江南,19231元/平米,金隅空港公馆,2017年建/板楼,100,1室1厅,103103566694,2018-12-13,南,低楼层/共21层,平层/精装,52平米
70年,4,西湖申花,69112元/平米,圣苑小区,2008年建/板楼,620,2室2厅,103104571590,2019-04-28,南,中楼层/共18层,平层/精装,89.71平米
70年,11,西湖申花,32414元/平米,天虹公寓,2007年建/板楼,290,2室2厅,103104636751,2019-05-05,南,低楼层/共24层,平层/精装,89.47平米
70年,37,余杭临平,16671元/平米,赵家弄(余杭),未知年建/板楼,143,2室2厅,103103920660,2019-02-20,南,高楼层/共6层,平层/简装,85.78平米
40年,34,余杭临平,16248元/平米,华元欢乐城,2016年建/板楼,53,2室1厅,103103051319,2018-10-05,北,中楼层/共37层,平层/精装,32.62平米
70年,3,余杭闲林,30899元/平米,青枫墅园,2014年建/板楼,275,3室2厅,103104725257,2019-05-14,东南,中楼层/共32层,平层/毛坯,89平米
70年,0,临安临安,15625元/平米,,2013年建/板楼,200,3室2厅,103103839043,2019-01-30,南,中楼层/共11层,毛坯,128平米
70年,20,上城南星,57699元/平米,春江花月,2003年建/板楼,860,3室2厅,103103358547,2018-11-11,南,低楼层/共10层,平层/精装,149.05平米
70年,1,临安临安,15000元/平米,颐和山庄,未知年建/板楼,123,2室1厅,103103935828,2019-02-22,南,低楼层/共11层,平层/简装,82平米
70年,8,下城流水苑,44328元/平米,绿洲花园,2006年建/板塔结合,665,3室2厅,103104619350,2019-05-04,南,低楼层/共28层,平层/简装,150.02平米
70年,6,萧山钱江世纪城,37473元/平米,佳境天城佳合苑,2007年建/板楼,430,2室1厅,103104021790,2019-03-03,南,低楼层/共16层,平层/精装,114.75平米
70年,12,西湖文教,61686元/平米,金都城市芯宇,2013年建/板楼,440,1室1厅,103102853217,2018-09-07,南,中楼层/共28层,精装,71.33平米
70年,1,临安临安,18591元/平米,大园新城,未知年建/板楼,190,3室2厅,103104070734,2019-03-09,南,高楼层/共15层,平层/精装,102.2平米
70年,0,江干四季青,126937元/平米,夕照新村,1995年建/板楼,590,1室1厅,103104120231,2019-03-14,南,低楼层/共6层,平层/简装,46.48平米
70年,1,余杭临平,26292元/平米,世纪嘉园晴彩巴厘,2006年建/板楼,112,1室0厅,103104267331,2019-03-29,南,低楼层/共18层,精装,42.6平米
70年,53,上城潮鸣,39751元/平米,小河下小区,1993年建/板楼,299,2室2厅,103102541569,2018-06-25,南,高楼层/共7层,平层/精装,75.22平米
70年,7,余杭翡翠城,35938元/平米,翡翠城二期,2010年建/板塔结合,460,3室2厅,103103750677,2019-01-13,南 北,中楼层/共11层,平层/精装,128平米
40年,5,滨江滨江区政府,32934元/平米,金铂湾,2016年建/板楼,195,1室1厅,103103998847,2019-03-01,南,高楼层/共24层,平层/精装,59.21平米
70年,31,余杭临平,18488元/平米,肖家弄,2009年建/板楼,132,2室2厅,103104218564,2019-03-24,南,高楼层/共6层,平层/简装,71.4平米
70年,0,西湖文教,67025元/平米,今日嘉园,2008年建/塔楼,425,1室1厅,103104404473,2019-04-12,南 西南,高楼层/共17层,平层/简装,63.41平米
70年,9,下城三塘,55317元/平米,香石公寓,2012年建/板楼,720,3室2厅,103101948992,2017-11-28,东,低楼层/共18层,精装,130.16平米
70年,8,临安临安,15177元/平米,筑境花园,未知年建/板楼,150,2室2厅,103104672313,2019-05-09,南,低楼层/共6层,精装,98.84平米
70年,1,临安临安,52778元/平米,绿城桃李春风,未知年建/板塔结合,950,4室2厅,103104898892,2019-06-01,南,双拼/共2层,精装,180平米
70年,0,萧山钱江世纪城,55997元/平米,万和国际,2014年建/板楼,550,2室1厅,103104831713,2019-05-25,南,中楼层/共32层,简装,98.22平米
70年,48,江干钱江新城,65279元/平米,滨江城市之星,2012年建/塔楼,1270,3室2厅,103102683073,2018-08-02,西南,低楼层/共43层,平层/精装,194.55平米
70年,10,余杭良渚,40756元/平米,竹径云山,未知年建/暂无数据,490,3室2厅,103104818767,2019-05-24,南 北,下叠别墅/共4层,跃层/精装,120.23平米
70年,10,余杭临平,29634元/平米,理想银泰城,2016年建/板塔结合,330,3室1厅,103104115391,2019-03-13,南,高楼层/共47层,平层/毛坯,111.36平米
70年,3,余杭临平,18077元/平米,都市知音,2003年建/板楼,235,3室2厅,103104936147,2019-06-05,南,中楼层/共6层,平层/精装,130平米
70年,13,余杭翡翠城,32733元/平米,爱丁郡,2011年建/板楼,285,3室2厅,103104276678,2019-03-30,南,低楼层/共7层,平层/精装,87.07平米
70年,2,下城潮鸣,41874元/平米,兴和公寓,2000年建/板楼,380,3室1厅,103104706157,2019-05-12,南,高楼层/共7层,简装,90.75平米
70年,36,江干城东新城,42812元/平米,淮矿东元府,未知年建/板楼,500,3室2厅,103102521136,2018-06-19,南,低楼层/共22层,平层/毛坯,116.79平米
50年,4,下城三塘,23066元/平米,阳光银泰城,2014年建/板楼,138,1室1厅,103103990963,2019-02-28,南 北,低楼层/共16层,平层/精装,59.83平米
70年,12,余杭闲林,20567元/平米,岸上蓝山,2012年建/板楼,295,4室2厅,103104828179,2019-05-25,南,中楼层/共5层,平层/精装,143.44平米
70年,2,余杭星桥,21186元/平米,星桥桂花城,2010年建/板楼,286,3室2厅,103104677201,2019-05-09,南,低楼层/共10层,平层/精装,135平米
50年,97,下城流水苑,24295元/平米,钛合国际,2008年建/塔楼,99,1室1厅,103102655214,2018-07-26,西,低楼层/共27层,简装,40.75平米
70年,22,上城复兴,49721 元/平米,复兴东苑,1998年建/板楼,240,2室1厅,103102677461,2018-08-01,南,低楼层/共6层,平层/精装,48.27平米
70年,2,余杭勾庄,24682元/平米,逸居城,2010年建/板楼,219,2室2厅,103104265831,2019-03-29,南,低楼层/共11层,平层/精装,88.73平米
70年,6,江干钱江新城,66930元/平米,中海御道,2016年建/板塔结合,850,3室2厅,103102566508,2018-07-02,南,低楼层/共35层,平层/简装,127平米
70年,43,西湖翠苑,46882元/平米,翠苑一区,1988年建/板楼,233,2室1厅,103102222971,2018-03-18,南,中楼层/共7层,平层/简装,49.7平米
70年,0,临安临安,14158元/平米,颐和山庄,未知年建/板楼,170,3室2厅,103103489537,2018-11-30,南 北,高楼层/共11层,平层/毛坯,120.08㎡
70年,12,江干丁桥,30743元/平米,昆仑天籁,2010年建/塔楼,320,3室1厅,103103061087,2018-10-07,南 北,高楼层/共16层,平层/精装,104.09平米
50年,18,萧山南部卧城,27745元/平米,南江商业中心,2016年建/板楼,138,3室1厅,103102737400,2018-08-15,北,高楼层/共25层,精装,49.74平米
70年,25,余杭闲林,38133元/平米,绿城桃花源,2010年建/板楼,1500,6室2厅,103103407079,2018-11-18,南 北,共3层,毛坯,393.37平米
70年,3,钱塘新区沿江北,34310元/平米,朗诗国际街区,2009年建/塔楼,300,2室2厅,103104183274,2019-03-20,西南,中楼层/共18层,平层/精装,87.44平米
70年,1,下城三塘,40135元/平米,水印康庭,2006年建/板楼,895,4室2厅,103103863620,2019-02-13,南,高楼层/共18层,跃层/精装,223平米
40年,12,西湖文三西路,21549元/平米,华元天鹅堡,2011年建/板楼,140,1室1厅,103104449080,2019-04-16,南,高楼层/共5层,平层/精装,64.97平米
50年,0,下城石桥,19092元/平米,泰地北上新城,2013年建/板楼,145,3室1厅,103104755570,2019-05-17,南,中楼层/共13层,平层/精装,75.95平米
70年,14,余杭闲林,28963元/平米,复地上城,2014年建/板楼,260,3室2厅,103104231518,2019-03-25,南,高楼层/共17层,平层/精装,89.77平米
70年,20,余杭翡翠城,33901元/平米,绿城翡翠湾,2014年建/板楼,460,3室2厅,103104353501,2019-04-07,南,中楼层/共11层,平层/精装,135.69平米
70年,0,余杭星桥,18121元/平米,黄鹤山居,2007年建/板楼,270,3室2厅,103103878120,2019-02-15,南,低楼层/共6层,平层/精装,149平米
40年,1,萧山闻堰,15476元/平米,隐龙湾,2010年建/板塔结合,86,1室1厅,103104725621,2019-05-14,北,低楼层/共27层,平层/精装,55.57平米
70年,3,余杭良渚,30978元/平米,万科良渚文化村秋荷坊,未知年建/板楼,430,3室2厅,103104246301,2019-03-27,南 北,高楼层/共6层,平层/精装,138.81平米
70年,2,拱墅半山,32940元/平米,金隅田员外,2016年建/板楼,290,2室2厅,103104558816,2019-04-27,南 北,高楼层/共20层,平层/精装,88.04平米
70年,4,江干景芳,40839元/平米,景芳新五区,1997年建/板楼,265,2室1厅,103104661966,2019-05-08,南 北,高楼层/共7层,其他,64.89平米
70年,8,西湖西溪,55608元/平米,融创河滨之城雨澜轩,2017年建/板楼,770,4室2厅,103104096007,2019-03-11,南 北,低楼层/共18层,平层/毛坯,138.47平米
40年,3,萧山奥体,29914元/平米,众安嘉润公馆,2014年建/板楼,135,1室1厅,103104608693,2019-05-02,东北,高楼层/共30层,平层/精装,45.13平米
70年,10,西湖文一西路,53192元/平米,文溪鼎园,2013年建/板楼,465,3室2厅,103104380024,2019-04-10,南,中楼层/共8层,平层/简装,87.42平米
70年,18,拱墅拱宸桥,49151元/平米,锦昌文华苑,2007年建/板楼,680,3室2厅,103103018549,2018-09-28,南,中楼层/共13层,平层/精装,138.35平米
70年,7,下城和平,51680元/平米,现代景苑,2010年建/板塔结合,700,3室1厅,103103797673,2019-01-19,南,高楼层/共22层,平层/精装,135.45平米
70年,0,临安临安,17201元/平米,锦尚唐宁郡,2014年建/板楼,160,2室2厅,103103029928,2018-09-30,南,中楼层/共18层,平层/简装,93.02平米
70年,33,拱墅拱宸桥,49861元/平米,左岸花园,2005年建/板楼,715,3室2厅,103100631871,2016-10-10,南 北,低楼层/共11层,简装,143.4平米
70年,10,,56401元/平米,孝丰路小区,1988年建/板楼,230,1室1厅,103104023553,2019-03-03,东,低楼层/共6层,平层/简装,40.78平米
70年,17,西湖翠苑,37812元/平米,翠苑五区,1998年建/板楼,398,3室1厅,103104269868,2019-03-29,南,低楼层/共18层,简装,105.26平米
70年,19,下城潮鸣,46847元/平米,米兰公寓,2000年建/板楼,430,2室1厅,103103489724,2018-11-30,南 北,低楼层/共5层,平层/简装,91.79平米
70年,1,余杭星桥,24320元/平米,广厦天都城天星苑,2007年建/板楼,295,3室2厅,103104600788,2019-05-01,南,中楼层/共16层,精装,121.3平米
50年,0,滨江长河,999999元/平米,东方商务会馆,2000年建/板楼,136,1室1厅,103104734441,2019-05-15,东 北,中楼层/共16层,精装,45.85平米
70年,0,临安临安,27987元/平米,锦绣钱塘,未知年建/板楼,950,5室3厅,103103701255,2019-01-05,东南,独栋/共2层,毛坯,339.45平米
70年,2,萧山南部卧城,33706元/平米,新城香悦半岛,2018年建/板楼,296,3室2厅,103104263379,2019-03-28,南,低楼层/共30层,平层/毛坯,87.82平米
70年,38,滨江长河,49162元/平米,白金海岸,2006年建/板楼,460,2室1厅,103102695881,2018-08-05,南,高楼层/共18层,平层/精装,93.57平米
50年,11,下城石桥,20751元/平米,泰地北上新城,2013年建/板楼,68,1室1厅,103104226498,2019-03-25,北,中楼层/共13层,平层/简装,32.77平米
70年,33,钱塘新区沿江北,27262元/平米,朗诗国际街区,2009年建/塔楼,220,2室2厅,103102216311,2018-03-16,南 北,低楼层/共32层,简装,80.7平米
40年,5,余杭未来科技城,28790元/平米,西溪八方城,2015年建/板楼,155,3室1厅,103103872950,2019-02-14,北,高楼层/共12层,精装,53.84平米
70年,26,余杭良渚,28591元/平米,昆仑华府,2017年建/板楼,255,3室2厅,103102634390,2018-07-20,南,低楼层/共18层,平层/毛坯,89.19平米
70年,18,江干采荷,48965元/平米,凯旋新村,1989年建/板楼,260,2室1厅,103102211529,2018-03-15,南 北,高楼层/共6层,平层/简装,53.1平米
70年,0,西湖申花,43855元/平米,中旅紫金名门,2016年建/板楼,380,3室2厅,103104535415,2019-04-25,南,中楼层/共33层,平层/精装,86.65平米
70年,6,拱墅拱宸桥,33388元/平米,蚕花园永庆坊,2000年建/板楼,225,2室1厅,103104911442,2019-06-02,南,高楼层/共22层,平层/精装,67.39平米
70年,0,临安临安,18000元/平米,筑境花园,未知年建/板楼,244.8,3室2厅,103104911817,2019-06-02,南,中楼层/共6层,毛坯,136平米
70年,0,滨江彩虹城,47785元/平米,盛元慧谷,2008年建/板楼,755,3室2厅,103102747870,2018-08-17,南,低楼层/共40层,其他,158平米
70年,1,余杭临平,47537元/平米,华元花涧堂,2015年建/暂无数据,798,4室3厅,103104761020,2019-05-18,南,联排/共3层,毛坯,167.87平米
70年,0,临安临安,14625元/平米,翠紫苑,未知年建/板楼,183,4室2厅,103104373314,2019-04-09,南,中楼层/共7层,平层/毛坯,125.13平米
70年,4,钱塘新区沿江南,27164元/平米,保利东湾,2010年建/板楼,280,3室2厅,103104666084,2019-05-08,南,高楼层/共34层,平层/简装,103.08平米
70年,6,西湖文三西路,56276元/平米,颐景园,2000年建/板楼,660,4室2厅,103104819223,2019-05-24,南 北,高楼层/共6层,错层/精装,117.28平米
70年,41,西湖三墩,36224元/平米,白马尊邸,2009年建/塔楼,310,2室1厅,103102531850,2018-06-22,南,低楼层/共18层,平层/精装,85.58平米
70年,5,西湖三墩,33099元/平米,白马尊邸,2009年建/塔楼,470,3室2厅,103102852363,2018-09-07,南,低楼层/共18层,简装,142平米
40年,17,钱塘新区金沙湖,17869元/平米,金沙国际,2016年建/塔楼,109,2室2厅,103104112851,2019-03-13,南,中楼层/共26层,平层/简装,61平米
